大龍峒,ㄉㄚˋ ㄌㄨㄥˊ ㄉㄨㄥˋ,地名。
有玷家聲,ㄧㄡˇ ㄉㄧㄢˋ ㄐㄧㄚ ㄕㄥ,玷污了家族的名聲。
佚名,ㄧˋ ㄇㄧㄥˊ,名字失傳或不詳，多指不知名的作者或創作者。
待會兒,ㄉㄞ ㄏㄨㄟˇ ㄦ,等一下、過一會兒。
扃牖而居,ㄐㄩㄥ ㄧㄡˇ ㄦˊ ㄐㄩ,關閉門窗在家居住，比喻閉門不出，與外界隔絕。
紅藜飯,ㄏㄨㄥˊ ㄌㄧˊ ㄈㄢˋ,以紅藜和米飯混合煮成的食物。
乾噎,ㄍㄢ ㄧㄝ,喉嚨乾澀，食物難以吞嚥。
埤塘,ㄆㄧˊ ㄊㄤˊ,在低窪地方挖掘或築堤圍成的蓄水池。
掇而不跂,ㄉㄨㄛ ㄦˊ ㄅㄨˋ ㄑㄧˋ,拾取所擁有的，而不踮起腳跟企求所沒有的；比喻腳踏實地。
這纔知道,ㄓㄜˋ ㄘㄞˊ ㄓ ㄉㄠˋ,這時候才明白、才了解。
雅礱江,ㄧㄚˇ ㄌㄨㄥˊ ㄐㄧㄤ,中國四川省的一條河流名稱。
鹽酥雞,ㄧㄢˊ ㄙㄨ ㄐㄧ,一種將雞肉切塊油炸後，撒上胡椒鹽和九層塔的台灣小吃。
浴乎沂,ㄩˋ ㄏㄨ ㄧˊ,在沂水邊沐浴。出自《論語》，是孔子門人曾皙的志向。
觭角,ㄐㄧ ㄐㄧㄠˇ,形容牛羊等動物的角單獨向上生長，不成對。
徇其私欲,ㄒㄩㄣˋ ㄑㄧˊ ㄙ ㄩˋ,順從自己的私人慾望。
借殼上市,ㄐㄧㄝˋ ㄎㄜˊ ㄕㄤˋ ㄕˋ,借用一家已上市公司（殼公司）的名義，將自己的資產注入該公司，以達到上市目的。
偈語,ㄐㄧˋ ㄩˇ,佛經中的唱頌詞，通常為四句一組的韻文。
戕摩剝削,ㄑㄧㄤ ㄇㄛˊ ㄅㄛ ㄒㄩㄝ,摧殘、傷害、剝削。
油燜筍,ㄧㄡˊ ㄇㄣˋ ㄙㄨㄣˇ,一種以油和醬汁燜煮竹筍的菜餚。
孤癖之隱,ㄍㄨ ㄆㄧˇ ㄓ ㄧㄣˇ,隱藏在內心深處的孤僻性情或隱私。
沒轍了,ㄇㄟˊ ㄓㄜˊ ㄌㄜ˙,沒有辦法了、無計可施。
參省乎己,ㄙㄢ ㄒㄧㄥˇ ㄏㄨ ㄐㄧˇ,反覆審察、檢視自己是否有過失。
提挈同來,ㄊㄧˊ ㄑㄧㄝˋ ㄊㄨㄥˊ ㄌㄞˊ,攜帶、帶領一同前來。
接駁車,ㄐㄧㄝ ㄅㄛˊ ㄔㄜ,往來於兩地之間，負責接送旅客或貨物的車輛。
倖免於難,ㄒㄧㄥˋ ㄇㄧㄢˇ ㄩˊ ㄋㄢˋ,僥倖地避開了災難。
荒腆於酒,ㄏㄨㄤ ㄊㄧㄢˇ ㄩˊ ㄐㄧㄡˇ,沉迷於酒色，荒廢正事。
殯葬業,ㄅㄧㄣˋ ㄗㄤˋ ㄧㄝˋ,處理喪事及埋葬等相關事務的行業。
環保署,ㄏㄨㄢˊ ㄅㄠˇ ㄕㄨˇ,環境保護部門的簡稱。
沉痾難癒,ㄔㄣˊ ㄜ ㄋㄢˊ ㄩˋ,積久難治的重病難以痊癒，比喻積重難返的弊端。
腹笥甚窘,ㄈㄨˋ ㄙˋ ㄕㄣˋ ㄐㄩㄥˇ,腹中裝的書本知識很少，指學識淺薄。
掄刀耍槍,ㄌㄨㄣ ㄉㄠ ㄕㄨㄚˇ ㄑㄧㄤ,揮舞刀槍，比喻武藝高強或準備打鬥。
恭賀春釐,ㄍㄨㄥ ㄏㄜˋ ㄔㄨㄣ ㄌㄧˊ,恭敬地祝賀春天的新開始或新歲。
鷤鳺,ㄊㄧˊ ㄈㄨ,杜鵑鳥的別名。又稱鶗鴃（Tí Jué）、子規。常在春夏之交鳴叫，傳說其鳴叫聲哀切。
過無憚改,ㄍㄨㄛˋ ㄨˋ ㄉㄢˋ ㄍㄞˇ,犯了錯誤就不要害怕改正。 (原文應為「過勿憚改」)
參省乎己,ㄘㄣ ㄕㄥˇ ㄏㄨ ㄐㄧˇ,反覆審察、檢視自己是否有過失。 (參作審察義應讀 ㄘㄣ)
三扠寬,ㄙㄢ ㄓㄚˇ ㄎㄨㄢ,量詞，計算長度（拇指與食指張開的寬度）。 (三本調為 ㄙㄢ，用戶錯誤為 ㄙㄚ，缺鼻音)

瑜亮情結,ㄩˊ ㄌㄧㄤˋ ㄑㄧㄥˊ ㄐㄧㄝˊ,比喻才智相當，互不服氣。
聯袂同行,ㄌㄧㄢˊ ㄇㄟˋ ㄊㄨㄥˊ ㄒㄧㄥˊ,比喻進退行止一致。